reference_image,test_image,ref_position,response,resptime
img/i08.bmp,img/c30/i08_8_11zon.bmp,0,6,5.165207
img/i04.bmp,img/c30/i04_4_11zon.bmp,0,5,0.862589
img/i02.bmp,img/c10/i02_2_11zon.bmp,0,6,0.746634
img/i05.bmp,img/c70/i05_5_11zon.bmp,0,3,1.814978
img/i05.bmp,img/c40/i05_5_11zon.bmp,0,4,1.083963
img/i05.bmp,img/c20/i05_5_11zon.bmp,0,4,1.248591
img/i01.bmp,img/c50/i01_1_11zon.bmp,0,5,2.564854
img/i02.bmp,img/c100/i02_2_11zon.bmp,0,0,1.672957
img/i01.bmp,img/c30/i01_1_11zon.bmp,0,5,3.417009
img/i01.bmp,img/c60/i01_1_11zon.bmp,0,4,0.887974
img/i09.bmp,img/c100/i09_9_11zon.bmp,0,0,1.615658
img/i05.bmp,img/c90/i05_5_11zon.bmp,0,1,1.011645
img/i07.bmp,img/c40/i07_7_11zon.bmp,0,4,1.772547
img/i09.bmp,img/c20/i09_9_11zon.bmp,0,4,0.984651
img/i03.bmp,img/c40/i03_3_11zon.bmp,0,5,0.756966
img/i03.bmp,img/c90/i03_3_11zon.bmp,0,2,1.794614
img/i02.bmp,img/c70/i02_2_11zon.bmp,0,3,1.654284
img/i09.bmp,img/c10/i09_9_11zon.bmp,0,4,2.314493
img/i01.bmp,img/c90/i01_1_11zon.bmp,0,1,3.599572
img/i02.bmp,img/c80/i02_2_11zon.bmp,0,1,0.986108
img/i06.bmp,img/c40/i06_6_11zon.bmp,0,2,1.640789
img/i02.bmp,img/c90/i02_2_11zon.bmp,0,1,0.731978
img/i07.bmp,img/c80/i07_7_11zon.bmp,0,1,0.845538
img/i05.bmp,img/c50/i05_5_11zon.bmp,0,2,2.032875
img/i04.bmp,img/c20/i04_4_11zon.bmp,0,5,1.290539
img/i06.bmp,img/c80/i06_6_11zon.bmp,0,2,4.34946
img/i05.bmp,img/c30/i05_5_11zon.bmp,0,3,2.038109
img/i05.bmp,img/c80/i05_5_11zon.bmp,0,2,4.284866
img/i04.bmp,img/c90/i04_4_11zon.bmp,0,1,2.458031
img/i10.bmp,img/c10/i10_10_11zon.bmp,0,6,3.660649
img/i03.bmp,img/c10/i03_3_11zon.bmp,0,6,0.771998
img/i08.bmp,img/c10/i08_8_11zon.bmp,0,6,0.837898
img/i04.bmp,img/c10/i04_4_11zon.bmp,0,6,2.637746
img/i04.bmp,img/c80/i04_4_11zon.bmp,0,3,1.546863
img/i07.bmp,img/c70/i07_7_11zon.bmp,0,2,2.439571
img/i04.bmp,img/c100/i04_4_11zon.bmp,0,0,2.457257
img/i08.bmp,img/c70/i08_8_11zon.bmp,0,2,2.420213
img/i07.bmp,img/c50/i07_7_11zon.bmp,0,2,1.661584
img/i03.bmp,img/c20/i03_3_11zon.bmp,0,5,1.773474
img/i09.bmp,img/c40/i09_9_11zon.bmp,0,5,1.088772
img/i04.bmp,img/c70/i04_4_11zon.bmp,0,2,1.68208
img/i10.bmp,img/c80/i10_10_11zon.bmp,0,2,1.70927
img/i08.bmp,img/c100/i08_8_11zon.bmp,0,0,1.204393
img/i06.bmp,img/c100/i06_6_11zon.bmp,0,0,0.636672
img/i09.bmp,img/c30/i09_9_11zon.bmp,0,3,2.830329
img/i10.bmp,img/c50/i10_10_11zon.bmp,0,5,1.495437
img/i05.bmp,img/c10/i05_5_11zon.bmp,0,5,1.732306
img/i08.bmp,img/c20/i08_8_11zon.bmp,0,6,1.447411
img/i01.bmp,img/c80/i01_1_11zon.bmp,0,3,1.672639
img/i09.bmp,img/c80/i09_9_11zon.bmp,0,3,1.471756
img/i05.bmp,img/c100/i05_5_11zon.bmp,0,0,1.041853
img/i02.bmp,img/c50/i02_2_11zon.bmp,0,5,1.36752
img/i01.bmp,img/c20/i01_1_11zon.bmp,0,6,1.749673
img/i02.bmp,img/c60/i02_2_11zon.bmp,0,4,2.124038
img/i09.bmp,img/c70/i09_9_11zon.bmp,0,4,1.003157
img/i06.bmp,img/c10/i06_6_11zon.bmp,0,4,1.216261
img/i08.bmp,img/c60/i08_8_11zon.bmp,0,6,2.252218
img/i03.bmp,img/c30/i03_3_11zon.bmp,0,5,1.840849
img/i09.bmp,img/c60/i09_9_11zon.bmp,0,5,1.09789
img/i01.bmp,img/c40/i01_1_11zon.bmp,0,5,2.329319
img/i10.bmp,img/c70/i10_10_11zon.bmp,0,5,2.153063
img/i07.bmp,img/c100/i07_7_11zon.bmp,0,0,1.120394
img/i08.bmp,img/c80/i08_8_11zon.bmp,0,1,1.420948
img/i06.bmp,img/c60/i06_6_11zon.bmp,0,2,1.197058
img/i04.bmp,img/c60/i04_4_11zon.bmp,0,3,1.100148
img/i02.bmp,img/c40/i02_2_11zon.bmp,0,5,1.736726
img/i01.bmp,img/c100/i01_1_11zon.bmp,0,0,1.71035
img/i10.bmp,img/c20/i10_10_11zon.bmp,0,6,1.407218
img/i07.bmp,img/c60/i07_7_11zon.bmp,0,4,6.72951
img/i10.bmp,img/c40/i10_10_11zon.bmp,0,5,1.291375
img/i08.bmp,img/c40/i08_8_11zon.bmp,0,6,1.690615
img/i04.bmp,img/c50/i04_4_11zon.bmp,0,5,1.460214
img/i07.bmp,img/c30/i07_7_11zon.bmp,0,4,1.68101
img/i03.bmp,img/c100/i03_3_11zon.bmp,0,0,1.05943
img/i02.bmp,img/c20/i02_2_11zon.bmp,0,6,1.244252
img/i09.bmp,img/c50/i09_9_11zon.bmp,0,4,1.245977
img/i10.bmp,img/c30/i10_10_11zon.bmp,0,6,1.084108
img/i03.bmp,img/c80/i03_3_11zon.bmp,0,4,1.561052
img/i06.bmp,img/c20/i06_6_11zon.bmp,0,4,1.391087
img/i03.bmp,img/c50/i03_3_11zon.bmp,0,5,1.238737
img/i01.bmp,img/c10/i01_1_11zon.bmp,0,6,1.589514
img/i10.bmp,img/c90/i10_10_11zon.bmp,0,1,2.555473
img/i05.bmp,img/c60/i05_5_11zon.bmp,0,1,0.79183
img/i10.bmp,img/c100/i10_10_11zon.bmp,0,1,0.533111
img/i09.bmp,img/c90/i09_9_11zon.bmp,0,1,0.803684
img/i06.bmp,img/c50/i06_6_11zon.bmp,0,3,1.458007
img/i06.bmp,img/c30/i06_6_11zon.bmp,0,4,1.405787
img/i07.bmp,img/c90/i07_7_11zon.bmp,0,0,2.088596
img/i08.bmp,img/c50/i08_8_11zon.bmp,0,4,1.495658
img/i03.bmp,img/c70/i03_3_11zon.bmp,0,4,3.155108
img/i04.bmp,img/c40/i04_4_11zon.bmp,0,4,1.177059
img/i08.bmp,img/c90/i08_8_11zon.bmp,0,1,3.028184
img/i06.bmp,img/c70/i06_6_11zon.bmp,0,1,1.055161
img/i06.bmp,img/c90/i06_6_11zon.bmp,0,0,1.30858
img/i07.bmp,img/c20/i07_7_11zon.bmp,0,4,2.558351
img/i03.bmp,img/c60/i03_3_11zon.bmp,0,5,2.135092
img/i01.bmp,img/c70/i01_1_11zon.bmp,0,4,1.756505
img/i10.bmp,img/c60/i10_10_11zon.bmp,0,5,1.3431
img/i02.bmp,img/c30/i02_2_11zon.bmp,0,6,1.557705
img/i07.bmp,img/c10/i07_7_11zon.bmp,0,6,0.980769
