reference_image,test_image,ref_position,response,resptime
img/i08.bmp,img/c30/i08_8_11zon.bmp,0,6,30.575941
img/i04.bmp,img/c30/i04_4_11zon.bmp,0,6,12.511365
img/i02.bmp,img/c10/i02_2_11zon.bmp,0,6,17.077813
img/i05.bmp,img/c70/i05_5_11zon.bmp,0,5,12.054528
img/i05.bmp,img/c40/i05_5_11zon.bmp,0,5,2.165925
img/i05.bmp,img/c20/i05_5_11zon.bmp,0,5,23.268169
img/i01.bmp,img/c50/i01_1_11zon.bmp,0,4,20.177643
img/i02.bmp,img/c100/i02_2_11zon.bmp,0,0,8.324887
img/i01.bmp,img/c30/i01_1_11zon.bmp,0,4,8.311286
img/i01.bmp,img/c60/i01_1_11zon.bmp,0,3,10.259843
img/i09.bmp,img/c100/i09_9_11zon.bmp,0,0,9.855019
img/i05.bmp,img/c90/i05_5_11zon.bmp,0,1,20.469891
img/i07.bmp,img/c40/i07_7_11zon.bmp,0,3,12.042947
img/i09.bmp,img/c20/i09_9_11zon.bmp,0,5,16.043719
img/i03.bmp,img/c40/i03_3_11zon.bmp,0,6,7.215448
img/i03.bmp,img/c90/i03_3_11zon.bmp,0,4,8.405225
img/i02.bmp,img/c70/i02_2_11zon.bmp,0,4,3.234862
img/i09.bmp,img/c10/i09_9_11zon.bmp,0,6,5.835458
img/i01.bmp,img/c90/i01_1_11zon.bmp,0,1,8.995742
img/i02.bmp,img/c80/i02_2_11zon.bmp,0,1,3.584419
img/i06.bmp,img/c40/i06_6_11zon.bmp,0,2,7.08797
img/i02.bmp,img/c90/i02_2_11zon.bmp,0,1,5.986969
img/i07.bmp,img/c80/i07_7_11zon.bmp,0,1,2.470028
img/i05.bmp,img/c50/i05_5_11zon.bmp,0,2,3.5454
img/i04.bmp,img/c20/i04_4_11zon.bmp,0,6,7.080393
img/i06.bmp,img/c80/i06_6_11zon.bmp,0,4,5.922814
img/i05.bmp,img/c30/i05_5_11zon.bmp,0,5,8.580997
img/i05.bmp,img/c80/i05_5_11zon.bmp,0,4,1.990812
img/i04.bmp,img/c90/i04_4_11zon.bmp,0,4,3.080932
img/i10.bmp,img/c10/i10_10_11zon.bmp,0,6,10.155954
img/i03.bmp,img/c10/i03_3_11zon.bmp,0,6,2.933466
img/i08.bmp,img/c10/i08_8_11zon.bmp,0,6,4.369598
img/i04.bmp,img/c10/i04_4_11zon.bmp,0,6,5.012913
img/i04.bmp,img/c80/i04_4_11zon.bmp,0,6,2.593945
img/i07.bmp,img/c70/i07_7_11zon.bmp,0,5,9.196002
img/i04.bmp,img/c100/i04_4_11zon.bmp,0,0,3.294749
img/i08.bmp,img/c70/i08_8_11zon.bmp,0,5,5.210476
img/i07.bmp,img/c50/i07_7_11zon.bmp,0,6,6.154862
img/i03.bmp,img/c20/i03_3_11zon.bmp,0,6,2.817136
img/i09.bmp,img/c40/i09_9_11zon.bmp,0,6,5.012154
img/i04.bmp,img/c70/i04_4_11zon.bmp,0,5,3.247629
img/i10.bmp,img/c80/i10_10_11zon.bmp,0,5,6.660843
img/i08.bmp,img/c100/i08_8_11zon.bmp,0,0,2.490178
img/i06.bmp,img/c100/i06_6_11zon.bmp,0,0,1.640716
img/i09.bmp,img/c30/i09_9_11zon.bmp,0,6,4.538004
img/i10.bmp,img/c50/i10_10_11zon.bmp,0,6,2.514339
img/i05.bmp,img/c10/i05_5_11zon.bmp,0,5,8.480879
img/i08.bmp,img/c20/i08_8_11zon.bmp,0,6,3.701238
img/i01.bmp,img/c80/i01_1_11zon.bmp,0,4,3.087604
img/i09.bmp,img/c80/i09_9_11zon.bmp,0,4,2.237109
img/i05.bmp,img/c100/i05_5_11zon.bmp,0,0,3.302166
img/i02.bmp,img/c50/i02_2_11zon.bmp,0,5,10.780985
img/i01.bmp,img/c20/i01_1_11zon.bmp,0,5,1.84196
img/i02.bmp,img/c60/i02_2_11zon.bmp,0,5,2.971045
img/i09.bmp,img/c70/i09_9_11zon.bmp,0,4,3.794867
img/i06.bmp,img/c10/i06_6_11zon.bmp,0,5,6.943651
img/i08.bmp,img/c60/i08_8_11zon.bmp,0,5,4.263031
img/i03.bmp,img/c30/i03_3_11zon.bmp,0,6,31.396415
img/i09.bmp,img/c60/i09_9_11zon.bmp,0,6,2.276276
img/i01.bmp,img/c40/i01_1_11zon.bmp,0,6,3.127788
img/i10.bmp,img/c70/i10_10_11zon.bmp,0,6,6.429996
img/i07.bmp,img/c100/i07_7_11zon.bmp,0,0,2.296346
img/i08.bmp,img/c80/i08_8_11zon.bmp,0,3,9.316127
img/i06.bmp,img/c60/i06_6_11zon.bmp,0,6,5.903094
img/i04.bmp,img/c60/i04_4_11zon.bmp,0,6,4.05305
img/i02.bmp,img/c40/i02_2_11zon.bmp,0,6,4.168499
img/i01.bmp,img/c100/i01_1_11zon.bmp,0,0,1.616484
img/i10.bmp,img/c20/i10_10_11zon.bmp,0,6,3.593103
img/i07.bmp,img/c60/i07_7_11zon.bmp,0,6,6.747615
img/i10.bmp,img/c40/i10_10_11zon.bmp,0,6,4.384549
img/i08.bmp,img/c40/i08_8_11zon.bmp,0,6,4.386996
