reference_image,test_image,img_size,response,resptime
08,30,26804,5,2.471345
04,30,46006,4,1.026033
02,10,47183,6,0.824552
05,70,18298,2,1.616886
05,40,30226,3,0.914117
05,20,45730,4,0.8863
01,50,30418,4,0.926173
02,100,1878,0,1.274769
01,30,42040,5,1.102288
01,60,26071,4,0.74456
09,100,2511,0,1.06182
05,90,7623,1,1.189418
07,40,19798,3,1.706769
09,20,43540,5,0.883592
03,40,42141,5,1.636329
03,90,12381,2,1.144676
02,70,10528,3,1.020637
09,10,64889,4,0.908011
01,90,8821,2,1.859141
02,80,7533,2,0.838338
06,40,43737,3,1.096253
02,90,4151,1,1.23121
07,80,8245,1,1.505189
05,50,26175,2,1.380261
04,20,57167,4,1.618806
06,80,19411,2,1.458821
05,30,36281,4,1.02032
05,80,13466,3,1.434167
04,90,11258,2,1.291124
10,10,43294,6,1.812536
03,10,85126,6,0.529453
08,10,51322,6,1.089609
04,10,81772,6,0.755322
04,80,18731,4,1.433877
07,70,11592,3,1.622117
04,100,4048,0,1.177361
08,70,13727,5,2.926881
07,50,17001,3,1.890241
03,20,61290,5,1.739719
09,40,28271,5,1.154543
04,70,24746,4,2.291126
10,80,8359,4,1.859999
08,100,2180,0,1.326617
06,100,2903,0,0.499217
09,30,34009,4,1.578363
10,50,15545,5,3.717989
05,10,67123,5,1.62202
08,20,34101,5,0.815898
01,80,15978,4,1.503034
09,80,13392,4,1.527352
05,100,2453,0,1.180213
02,50,15773,6,1.150495
01,20,53424,5,5.70914
02,60,13203,5,1.63448
09,70,17639,5,1.530368
06,10,95297,4,1.662209
08,60,16605,5,1.364274
03,30,49608,5,0.82396
09,60,21225,5,1.442093
01,40,34958,6,1.544865
10,70,11088,4,1.601619
07,100,1757,0,1.133912
08,80,10202,4,3.942379
06,60,32304,4,1.911617
04,60,29570,4,2.455457
02,40,18581,6,1.540726
01,100,2453,0,0.803755
10,20,27742,5,1.525867
07,60,14371,4,1.77036
10,40,17868,5,1.131077
08,40,22279,5,1.542606
04,50,34081,5,0.703291
07,30,24330,5,1.272403
03,100,3673,0,1.374644
02,20,30292,6,0.988205
09,50,24634,5,1.44799
10,30,21541,6,1.099547
03,80,20670,5,0.806631
06,20,66681,5,2.751091
03,50,37120,5,0.951476
01,10,78200,5,0.794043
10,90,5113,2,2.788706
05,60,22344,3,3.346244
10,100,2234,0,1.858324
09,90,7945,1,1.279638
06,50,37689,1,0.909236
06,30,52569,2,1.326389
07,90,4373,1,1.149855
08,50,19384,4,1.777936
03,70,27207,4,0.979411
04,40,38864,5,1.09777
08,90,6055,1,2.59745
06,70,26423,1,1.316529
06,90,10657,1,0.817002
07,20,31227,4,2.51028
03,60,32321,4,0.919448
01,70,21606,5,1.037421
10,60,13338,5,16.905971
02,30,23063,6,0.938355
07,10,48214,4,1.022786
