reference_image,test_image,img_size,response,resptime
08,30,26804,6,56.934291
04,30,46006,6,11.038071
02,10,47183,6,24.538124
05,70,18298,4,22.196838
05,40,30226,4,3.264979
05,20,45730,4,0.787516
01,50,30418,4,8.655743
02,100,1878,0,9.07826
01,30,42040,6,14.720449
01,60,26071,6,1.988982
09,100,2511,1,14.129188
05,90,7623,3,9.440297
07,40,19798,5,4.781355
09,20,43540,6,9.609165
03,40,42141,6,4.482901
03,90,12381,5,1.616695
02,70,10528,5,2.30711
09,10,64889,6,10.643028
01,90,8821,4,3.233356
02,80,7533,4,1.401929
06,40,43737,6,4.661132
02,90,4151,4,3.04396
07,80,8245,4,1.346456
05,50,26175,5,5.045381
04,20,57167,6,4.37649
06,80,19411,5,3.346271
05,30,36281,6,3.34007
05,80,13466,5,2.446508
04,90,11258,5,2.442809
10,10,43294,6,2.021439
03,10,85126,6,3.251759
08,10,51322,6,4.355858
04,10,81772,6,4.177982
04,80,18731,6,0.539182
07,70,11592,5,2.413286
04,100,4048,2,4.428016
08,70,13727,4,3.061781
07,50,17001,5,4.633227
03,20,61290,5,7.421237
09,40,28271,5,2.094177
04,70,24746,5,1.631288
10,80,8359,5,2.487121
08,100,2180,2,3.052954
06,100,2903,0,4.821558
09,30,34009,5,2.960171
10,50,15545,6,2.193044
05,10,67123,6,2.762746
08,20,34101,6,1.762568
01,80,15978,5,1.806608
09,80,13392,5,1.095596
05,100,2453,0,1.897429
02,50,15773,5,3.62534
01,20,53424,6,1.947054
02,60,13203,6,1.980425
09,70,17639,5,1.693216
06,10,95297,6,6.373465
08,60,16605,5,1.263855
03,30,49608,6,1.993331
09,60,21225,5,1.538479
01,40,34958,5,4.238561
10,70,11088,5,1.301356
07,100,1757,0,1.771339
08,80,10202,4,1.651141
06,60,32304,4,1.323767
04,60,29570,6,2.420891
02,40,18581,6,0.70666
01,100,2453,1,2.809498
10,20,27742,6,4.955206
07,60,14371,5,1.660092
10,40,17868,6,1.072711
08,40,22279,6,2.093832
04,50,34081,6,1.289853
07,30,24330,6,2.276334
03,100,3673,2,3.601469
02,20,30292,5,5.058884
09,50,24634,5,3.425398
10,30,21541,6,5.326794
03,80,20670,4,2.318277
06,20,66681,5,1.662581
03,50,37120,6,1.777716
01,10,78200,6,4.915616
10,90,5113,4,1.254413
05,60,22344,4,2.079897
10,100,2234,1,7.364378
09,90,7945,3,2.996041
06,50,37689,5,2.13695
06,30,52569,5,1.714452
07,90,4373,4,1.19884
08,50,19384,5,1.275362
03,70,27207,5,2.463874
04,40,38864,6,1.666484
08,90,6055,4,3.220504
06,70,26423,5,3.343563
06,90,10657,4,1.412712
07,20,31227,5,1.49378
03,60,32321,5,1.863471
01,70,21606,5,1.557395
10,60,13338,5,1.833635
02,30,23063,5,1.828458
07,10,48214,5,2.274346
