reference_image,test_image,ref_position,response,resptime
img/i08.bmp,img/c30/i08_8_11zon.bmp,0,5,17.091181
img/i04.bmp,img/c30/i04_4_11zon.bmp,0,5,2.597898
img/i02.bmp,img/c10/i02_2_11zon.bmp,0,6,6.11256
img/i05.bmp,img/c70/i05_5_11zon.bmp,0,3,2.449488
img/i05.bmp,img/c40/i05_5_11zon.bmp,0,4,2.515758
img/i05.bmp,img/c20/i05_5_11zon.bmp,0,4,7.235665
img/i01.bmp,img/c50/i01_1_11zon.bmp,0,5,1.85514
img/i02.bmp,img/c100/i02_2_11zon.bmp,0,0,3.656366
img/i01.bmp,img/c30/i01_1_11zon.bmp,0,3,1.999763
img/i01.bmp,img/c60/i01_1_11zon.bmp,0,4,4.411535
img/i09.bmp,img/c100/i09_9_11zon.bmp,0,0,2.111403
img/i05.bmp,img/c90/i05_5_11zon.bmp,0,1,3.961876
img/i07.bmp,img/c40/i07_7_11zon.bmp,0,4,3.117232
img/i09.bmp,img/c20/i09_9_11zon.bmp,0,5,3.512008
img/i03.bmp,img/c40/i03_3_11zon.bmp,0,5,3.494453
img/i03.bmp,img/c90/i03_3_11zon.bmp,0,2,3.105858
img/i02.bmp,img/c70/i02_2_11zon.bmp,0,2,2.285153
img/i09.bmp,img/c10/i09_9_11zon.bmp,0,5,2.438393
img/i01.bmp,img/c90/i01_1_11zon.bmp,0,1,3.326391
img/i02.bmp,img/c80/i02_2_11zon.bmp,0,2,1.854231
img/i06.bmp,img/c40/i06_6_11zon.bmp,0,3,2.320829
img/i02.bmp,img/c90/i02_2_11zon.bmp,0,1,2.487831
img/i07.bmp,img/c80/i07_7_11zon.bmp,0,1,1.335976
img/i05.bmp,img/c50/i05_5_11zon.bmp,0,1,1.036241
img/i04.bmp,img/c20/i04_4_11zon.bmp,0,4,2.07195
img/i06.bmp,img/c80/i06_6_11zon.bmp,0,1,2.879396
img/i05.bmp,img/c30/i05_5_11zon.bmp,0,2,2.030219
img/i05.bmp,img/c80/i05_5_11zon.bmp,0,2,2.828449
img/i04.bmp,img/c90/i04_4_11zon.bmp,0,2,1.337169
img/i10.bmp,img/c10/i10_10_11zon.bmp,0,5,2.208633
img/i03.bmp,img/c10/i03_3_11zon.bmp,0,6,2.093606
img/i08.bmp,img/c10/i08_8_11zon.bmp,0,6,1.596344
img/i04.bmp,img/c10/i04_4_11zon.bmp,0,6,1.248834
img/i04.bmp,img/c80/i04_4_11zon.bmp,0,4,2.264142
img/i07.bmp,img/c70/i07_7_11zon.bmp,0,3,2.930241
img/i04.bmp,img/c100/i04_4_11zon.bmp,0,0,1.473194
img/i08.bmp,img/c70/i08_8_11zon.bmp,0,3,5.094924
img/i07.bmp,img/c50/i07_7_11zon.bmp,0,3,1.270385
img/i03.bmp,img/c20/i03_3_11zon.bmp,0,5,1.868862
img/i09.bmp,img/c40/i09_9_11zon.bmp,0,5,1.753077
img/i04.bmp,img/c70/i04_4_11zon.bmp,0,4,1.76225
img/i10.bmp,img/c80/i10_10_11zon.bmp,0,3,1.703529
img/i08.bmp,img/c100/i08_8_11zon.bmp,0,0,1.289
img/i06.bmp,img/c100/i06_6_11zon.bmp,0,0,1.026832
img/i09.bmp,img/c30/i09_9_11zon.bmp,0,4,1.741673
img/i10.bmp,img/c50/i10_10_11zon.bmp,0,5,2.610897
img/i05.bmp,img/c10/i05_5_11zon.bmp,0,5,2.582984
img/i08.bmp,img/c20/i08_8_11zon.bmp,0,5,1.457748
img/i01.bmp,img/c80/i01_1_11zon.bmp,0,3,2.69232
img/i09.bmp,img/c80/i09_9_11zon.bmp,0,3,1.576224
img/i05.bmp,img/c100/i05_5_11zon.bmp,0,0,1.33775
img/i02.bmp,img/c50/i02_2_11zon.bmp,0,5,2.194281
img/i01.bmp,img/c20/i01_1_11zon.bmp,0,5,2.311015
img/i02.bmp,img/c60/i02_2_11zon.bmp,0,4,1.654422
img/i09.bmp,img/c70/i09_9_11zon.bmp,0,4,1.263542
img/i06.bmp,img/c10/i06_6_11zon.bmp,0,5,7.805571
img/i08.bmp,img/c60/i08_8_11zon.bmp,0,4,1.909626
img/i03.bmp,img/c30/i03_3_11zon.bmp,0,5,10.325266
img/i09.bmp,img/c60/i09_9_11zon.bmp,0,4,3.373498
img/i01.bmp,img/c40/i01_1_11zon.bmp,0,5,4.721793
img/i10.bmp,img/c70/i10_10_11zon.bmp,0,4,1.64605
img/i07.bmp,img/c100/i07_7_11zon.bmp,0,0,1.450337
img/i08.bmp,img/c80/i08_8_11zon.bmp,0,2,1.763465
img/i06.bmp,img/c60/i06_6_11zon.bmp,0,3,1.635077
img/i04.bmp,img/c60/i04_4_11zon.bmp,0,3,1.654307
img/i02.bmp,img/c40/i02_2_11zon.bmp,0,5,3.451917
