reference_image,test_image,ref_position,response,resptime
img/i08.bmp,img/c30/i08_8_11zon.bmp,0,5,9.544543
img/i04.bmp,img/c30/i04_4_11zon.bmp,0,5,7.291848
img/i02.bmp,img/c10/i02_2_11zon.bmp,0,5,7.087662
img/i05.bmp,img/c70/i05_5_11zon.bmp,0,2,7.128989
img/i05.bmp,img/c40/i05_5_11zon.bmp,0,3,2.363312
img/i05.bmp,img/c20/i05_5_11zon.bmp,0,4,6.27824
img/i01.bmp,img/c50/i01_1_11zon.bmp,0,4,6.695534
img/i02.bmp,img/c100/i02_2_11zon.bmp,0,0,1.874876
img/i01.bmp,img/c30/i01_1_11zon.bmp,0,6,3.611913
img/i01.bmp,img/c60/i01_1_11zon.bmp,0,5,1.626749
img/i09.bmp,img/c100/i09_9_11zon.bmp,0,0,1.520549
img/i05.bmp,img/c90/i05_5_11zon.bmp,0,1,6.469908
img/i07.bmp,img/c40/i07_7_11zon.bmp,0,4,12.172845
img/i09.bmp,img/c20/i09_9_11zon.bmp,0,5,5.589835
img/i03.bmp,img/c40/i03_3_11zon.bmp,0,4,4.573985
img/i03.bmp,img/c90/i03_3_11zon.bmp,0,1,5.265151
img/i02.bmp,img/c70/i02_2_11zon.bmp,0,4,3.313593
img/i09.bmp,img/c10/i09_9_11zon.bmp,0,6,2.275559
img/i01.bmp,img/c90/i01_1_11zon.bmp,0,1,7.725166
img/i02.bmp,img/c80/i02_2_11zon.bmp,0,3,2.08229
img/i06.bmp,img/c40/i06_6_11zon.bmp,0,4,3.900777
img/i02.bmp,img/c90/i02_2_11zon.bmp,0,2,2.789347
img/i07.bmp,img/c80/i07_7_11zon.bmp,0,2,6.165586
img/i05.bmp,img/c50/i05_5_11zon.bmp,0,4,5.632724
img/i04.bmp,img/c20/i04_4_11zon.bmp,0,6,1.568821
img/i06.bmp,img/c80/i06_6_11zon.bmp,0,2,17.467048
img/i05.bmp,img/c30/i05_5_11zon.bmp,0,6,2.160694
img/i05.bmp,img/c80/i05_5_11zon.bmp,0,3,2.579291
img/i04.bmp,img/c90/i04_4_11zon.bmp,0,3,4.243724
img/i10.bmp,img/c10/i10_10_11zon.bmp,0,6,1.878537
img/i03.bmp,img/c10/i03_3_11zon.bmp,0,6,1.533936
img/i08.bmp,img/c10/i08_8_11zon.bmp,0,6,2.177533
img/i04.bmp,img/c10/i04_4_11zon.bmp,0,6,3.879947
img/i04.bmp,img/c80/i04_4_11zon.bmp,0,4,2.120489
img/i07.bmp,img/c70/i07_7_11zon.bmp,0,3,4.739282
img/i04.bmp,img/c100/i04_4_11zon.bmp,0,0,1.461521
img/i08.bmp,img/c70/i08_8_11zon.bmp,0,4,4.652517
img/i07.bmp,img/c50/i07_7_11zon.bmp,0,3,6.301169
img/i03.bmp,img/c20/i03_3_11zon.bmp,0,5,7.687687
img/i09.bmp,img/c40/i09_9_11zon.bmp,0,5,3.688209
img/i04.bmp,img/c70/i04_4_11zon.bmp,0,5,5.545268
img/i10.bmp,img/c80/i10_10_11zon.bmp,0,4,1.819504
img/i08.bmp,img/c100/i08_8_11zon.bmp,0,0,1.346855
img/i06.bmp,img/c100/i06_6_11zon.bmp,0,0,0.864855
img/i09.bmp,img/c30/i09_9_11zon.bmp,0,5,6.501537
img/i10.bmp,img/c50/i10_10_11zon.bmp,0,5,1.574286
img/i05.bmp,img/c10/i05_5_11zon.bmp,0,6,4.31878
img/i08.bmp,img/c20/i08_8_11zon.bmp,0,5,5.210985
img/i01.bmp,img/c80/i01_1_11zon.bmp,0,3,4.683932
