reference_image,test_image,ref_position,response,resptime
img/i08.bmp,img/c30/i08_8_11zon.bmp,0,6,14.743207
img/i04.bmp,img/c30/i04_4_11zon.bmp,0,6,13.563687
img/i02.bmp,img/c10/i02_2_11zon.bmp,0,6,9.171541
img/i05.bmp,img/c70/i05_5_11zon.bmp,0,4,5.199837
img/i05.bmp,img/c40/i05_5_11zon.bmp,0,4,2.020607
img/i05.bmp,img/c20/i05_5_11zon.bmp,0,4,1.994877
img/i01.bmp,img/c50/i01_1_11zon.bmp,0,4,12.800213
img/i02.bmp,img/c100/i02_2_11zon.bmp,0,0,2.464843
img/i01.bmp,img/c30/i01_1_11zon.bmp,0,5,3.486712
img/i01.bmp,img/c60/i01_1_11zon.bmp,0,3,1.821868
img/i09.bmp,img/c100/i09_9_11zon.bmp,0,0,1.59994
img/i05.bmp,img/c90/i05_5_11zon.bmp,0,0,4.589249
img/i07.bmp,img/c40/i07_7_11zon.bmp,0,3,3.941353
img/i09.bmp,img/c20/i09_9_11zon.bmp,0,6,3.800727
img/i03.bmp,img/c40/i03_3_11zon.bmp,0,6,5.493674
img/i03.bmp,img/c90/i03_3_11zon.bmp,0,2,2.76931
img/i02.bmp,img/c70/i02_2_11zon.bmp,0,3,3.043644
img/i09.bmp,img/c10/i09_9_11zon.bmp,0,6,3.253101
img/i01.bmp,img/c90/i01_1_11zon.bmp,0,2,3.417156
img/i02.bmp,img/c80/i02_2_11zon.bmp,0,3,2.094839
img/i06.bmp,img/c40/i06_6_11zon.bmp,0,4,3.101904
img/i02.bmp,img/c90/i02_2_11zon.bmp,0,1,2.143336
img/i07.bmp,img/c80/i07_7_11zon.bmp,0,2,2.804008
img/i05.bmp,img/c50/i05_5_11zon.bmp,0,4,3.522225
img/i04.bmp,img/c20/i04_4_11zon.bmp,0,6,5.393406
img/i06.bmp,img/c80/i06_6_11zon.bmp,0,3,2.009376
img/i05.bmp,img/c30/i05_5_11zon.bmp,0,4,3.471037
img/i05.bmp,img/c80/i05_5_11zon.bmp,0,3,6.614227
img/i04.bmp,img/c90/i04_4_11zon.bmp,0,3,1.864929
img/i10.bmp,img/c10/i10_10_11zon.bmp,0,6,1.825722
img/i03.bmp,img/c10/i03_3_11zon.bmp,0,5,3.077037
img/i08.bmp,img/c10/i08_8_11zon.bmp,0,5,5.437359
img/i04.bmp,img/c10/i04_4_11zon.bmp,0,5,1.694404
img/i04.bmp,img/c80/i04_4_11zon.bmp,0,4,2.309558
img/i07.bmp,img/c70/i07_7_11zon.bmp,0,6,1.88293
img/i04.bmp,img/c100/i04_4_11zon.bmp,0,0,1.47783
img/i08.bmp,img/c70/i08_8_11zon.bmp,0,4,2.828204
img/i07.bmp,img/c50/i07_7_11zon.bmp,0,4,5.670675
img/i03.bmp,img/c20/i03_3_11zon.bmp,0,5,6.644215
img/i09.bmp,img/c40/i09_9_11zon.bmp,0,4,4.681767
img/i04.bmp,img/c70/i04_4_11zon.bmp,0,4,2.323417
img/i10.bmp,img/c80/i10_10_11zon.bmp,0,4,2.335455
img/i08.bmp,img/c100/i08_8_11zon.bmp,0,0,1.336388
img/i06.bmp,img/c100/i06_6_11zon.bmp,0,0,0.86107
img/i09.bmp,img/c30/i09_9_11zon.bmp,0,5,3.196485
img/i10.bmp,img/c50/i10_10_11zon.bmp,0,5,4.508962
img/i05.bmp,img/c10/i05_5_11zon.bmp,0,5,1.900637
img/i08.bmp,img/c20/i08_8_11zon.bmp,0,5,9.638347
img/i01.bmp,img/c80/i01_1_11zon.bmp,0,4,4.2807
img/i09.bmp,img/c80/i09_9_11zon.bmp,0,4,1.190494
img/i05.bmp,img/c100/i05_5_11zon.bmp,0,0,1.087153
img/i02.bmp,img/c50/i02_2_11zon.bmp,0,4,2.323935
img/i01.bmp,img/c20/i01_1_11zon.bmp,0,5,3.352524
img/i02.bmp,img/c60/i02_2_11zon.bmp,0,4,3.414847
img/i09.bmp,img/c70/i09_9_11zon.bmp,0,3,1.552884
img/i06.bmp,img/c10/i06_6_11zon.bmp,0,4,2.498165
img/i08.bmp,img/c60/i08_8_11zon.bmp,0,4,1.447703
img/i03.bmp,img/c30/i03_3_11zon.bmp,0,6,7.472583
img/i09.bmp,img/c60/i09_9_11zon.bmp,0,4,1.74368
img/i01.bmp,img/c40/i01_1_11zon.bmp,0,4,2.594382
img/i10.bmp,img/c70/i10_10_11zon.bmp,0,5,5.390528
img/i07.bmp,img/c100/i07_7_11zon.bmp,0,0,1.048154
img/i08.bmp,img/c80/i08_8_11zon.bmp,0,2,1.616527
img/i06.bmp,img/c60/i06_6_11zon.bmp,0,3,2.396967
img/i04.bmp,img/c60/i04_4_11zon.bmp,0,5,1.729401
img/i02.bmp,img/c40/i02_2_11zon.bmp,0,4,3.776957
img/i01.bmp,img/c100/i01_1_11zon.bmp,0,0,0.904159
img/i10.bmp,img/c20/i10_10_11zon.bmp,0,6,4.502523
img/i07.bmp,img/c60/i07_7_11zon.bmp,0,4,1.988982
img/i10.bmp,img/c40/i10_10_11zon.bmp,0,5,4.907764
img/i08.bmp,img/c40/i08_8_11zon.bmp,0,4,1.041481
img/i04.bmp,img/c50/i04_4_11zon.bmp,0,5,4.675617
img/i07.bmp,img/c30/i07_7_11zon.bmp,0,4,7.019754
