reference_image,test_image,ref_position,response,resptime
img/i08.bmp,img/c30/i08_8_11zon.bmp,0,6,13.995727
img/i04.bmp,img/c30/i04_4_11zon.bmp,0,6,43.302845
img/i02.bmp,img/c10/i02_2_11zon.bmp,0,6,5.859817
img/i05.bmp,img/c70/i05_5_11zon.bmp,0,3,18.763444
img/i05.bmp,img/c40/i05_5_11zon.bmp,0,5,36.62272
img/i05.bmp,img/c20/i05_5_11zon.bmp,0,6,12.378926
img/i01.bmp,img/c50/i01_1_11zon.bmp,0,3,7.261492
img/i02.bmp,img/c100/i02_2_11zon.bmp,0,0,4.387457
img/i01.bmp,img/c30/i01_1_11zon.bmp,0,5,6.747937
img/i01.bmp,img/c60/i01_1_11zon.bmp,0,2,12.652056
img/i09.bmp,img/c100/i09_9_11zon.bmp,0,0,2.507362
img/i05.bmp,img/c90/i05_5_11zon.bmp,0,0,1.634981
img/i07.bmp,img/c40/i07_7_11zon.bmp,0,6,5.779115
img/i09.bmp,img/c20/i09_9_11zon.bmp,0,6,3.468987
img/i03.bmp,img/c40/i03_3_11zon.bmp,0,6,4.012534
img/i03.bmp,img/c90/i03_3_11zon.bmp,0,2,5.100936
img/i02.bmp,img/c70/i02_2_11zon.bmp,0,2,2.769396
img/i09.bmp,img/c10/i09_9_11zon.bmp,0,6,4.44389
img/i01.bmp,img/c90/i01_1_11zon.bmp,0,0,2.889856
img/i02.bmp,img/c80/i02_2_11zon.bmp,0,1,3.451061
img/i06.bmp,img/c40/i06_6_11zon.bmp,0,6,3.52993
img/i02.bmp,img/c90/i02_2_11zon.bmp,0,1,2.685358
img/i07.bmp,img/c80/i07_7_11zon.bmp,0,1,4.561796
img/i05.bmp,img/c50/i05_5_11zon.bmp,0,2,11.735608
img/i04.bmp,img/c20/i04_4_11zon.bmp,0,5,8.663873
img/i06.bmp,img/c80/i06_6_11zon.bmp,0,2,5.744165
img/i05.bmp,img/c30/i05_5_11zon.bmp,0,6,14.448895
img/i05.bmp,img/c80/i05_5_11zon.bmp,0,2,4.400328
img/i04.bmp,img/c90/i04_4_11zon.bmp,0,1,2.245535
img/i10.bmp,img/c10/i10_10_11zon.bmp,0,6,2.519301
img/i03.bmp,img/c10/i03_3_11zon.bmp,0,6,2.205285
img/i08.bmp,img/c10/i08_8_11zon.bmp,0,6,4.66165
img/i04.bmp,img/c10/i04_4_11zon.bmp,0,6,5.572769
img/i04.bmp,img/c80/i04_4_11zon.bmp,0,3,6.656508
img/i07.bmp,img/c70/i07_7_11zon.bmp,0,2,3.6725
img/i04.bmp,img/c100/i04_4_11zon.bmp,0,0,1.924196
img/i08.bmp,img/c70/i08_8_11zon.bmp,0,3,5.040947
img/i07.bmp,img/c50/i07_7_11zon.bmp,0,4,10.285713
img/i03.bmp,img/c20/i03_3_11zon.bmp,0,6,4.283495
img/i09.bmp,img/c40/i09_9_11zon.bmp,0,6,2.176317
img/i04.bmp,img/c70/i04_4_11zon.bmp,0,4,3.207933
img/i10.bmp,img/c80/i10_10_11zon.bmp,0,4,4.379996
