reference_image,test_image,img_size,response,resptime
08,30,26804,6,5.165207
04,30,46006,5,0.862589
02,10,47183,6,0.746634
05,70,18298,3,1.814978
05,40,30226,4,1.083963
05,20,45730,4,1.248591
01,50,30418,5,2.564854
02,100,1878,0,1.672957
01,30,42040,5,3.417009
01,60,26071,4,0.887974
09,100,2511,0,1.615658
05,90,7623,1,1.011645
07,40,19798,4,1.772547
09,20,43540,4,0.984651
03,40,42141,5,0.756966
03,90,12381,2,1.794614
02,70,10528,3,1.654284
09,10,64889,4,2.314493
01,90,8821,1,3.599572
02,80,7533,1,0.986108
06,40,43737,2,1.640789
02,90,4151,1,0.731978
07,80,8245,1,0.845538
05,50,26175,2,2.032875
04,20,57167,5,1.290539
06,80,19411,2,4.34946
05,30,36281,3,2.038109
05,80,13466,2,4.284866
04,90,11258,1,2.458031
10,10,43294,6,3.660649
03,10,85126,6,0.771998
08,10,51322,6,0.837898
04,10,81772,6,2.637746
04,80,18731,3,1.546863
07,70,11592,2,2.439571
04,100,4048,0,2.457257
08,70,13727,2,2.420213
07,50,17001,2,1.661584
03,20,61290,5,1.773474
09,40,28271,5,1.088772
04,70,24746,2,1.68208
10,80,8359,2,1.70927
08,100,2180,0,1.204393
06,100,2903,0,0.636672
09,30,34009,3,2.830329
10,50,15545,5,1.495437
05,10,67123,5,1.732306
08,20,34101,6,1.447411
01,80,15978,3,1.672639
09,80,13392,3,1.471756
05,100,2453,0,1.041853
02,50,15773,5,1.36752
01,20,53424,6,1.749673
02,60,13203,4,2.124038
09,70,17639,4,1.003157
06,10,95297,4,1.216261
08,60,16605,6,2.252218
03,30,49608,5,1.840849
09,60,21225,5,1.09789
01,40,34958,5,2.329319
10,70,11088,5,2.153063
07,100,1757,0,1.120394
08,80,10202,1,1.420948
06,60,32304,2,1.197058
04,60,29570,3,1.100148
02,40,18581,5,1.736726
01,100,2453,0,1.71035
10,20,27742,6,1.407218
07,60,14371,4,6.72951
10,40,17868,5,1.291375
08,40,22279,6,1.690615
04,50,34081,5,1.460214
07,30,24330,4,1.68101
03,100,3673,0,1.05943
02,20,30292,6,1.244252
09,50,24634,4,1.245977
10,30,21541,6,1.084108
03,80,20670,4,1.561052
06,20,66681,4,1.391087
03,50,37120,5,1.238737
01,10,78200,6,1.589514
10,90,5113,1,2.555473
05,60,22344,1,0.79183
10,100,2234,1,0.533111
09,90,7945,1,0.803684
06,50,37689,3,1.458007
06,30,52569,4,1.405787
07,90,4373,0,2.088596
08,50,19384,4,1.495658
03,70,27207,4,3.155108
04,40,38864,4,1.177059
08,90,6055,1,3.028184
06,70,26423,1,1.055161
06,90,10657,0,1.30858
07,20,31227,4,2.558351
03,60,32321,5,2.135092
01,70,21606,4,1.756505
10,60,13338,5,1.3431
02,30,23063,6,1.557705
07,10,48214,6,0.980769
