reference_image,test_image,img_size,response,resptime
08,30,26804,5,9.544543
04,30,46006,5,7.291848
02,10,47183,5,7.087662
05,70,18298,2,7.128989
05,40,30226,3,2.363312
05,20,45730,4,6.27824
01,50,30418,4,6.695534
02,100,1878,0,1.874876
01,30,42040,6,3.611913
01,60,26071,5,1.626749
09,100,2511,0,1.520549
05,90,7623,1,6.469908
07,40,19798,4,12.172845
09,20,43540,5,5.589835
03,40,42141,4,4.573985
03,90,12381,1,5.265151
02,70,10528,4,3.313593
09,10,64889,6,2.275559
01,90,8821,1,7.725166
02,80,7533,3,2.08229
06,40,43737,4,3.900777
02,90,4151,2,2.789347
07,80,8245,2,6.165586
05,50,26175,4,5.632724
04,20,57167,6,1.568821
06,80,19411,2,17.467048
05,30,36281,6,2.160694
05,80,13466,3,2.579291
04,90,11258,3,4.243724
10,10,43294,6,1.878537
03,10,85126,6,1.533936
08,10,51322,6,2.177533
04,10,81772,6,3.879947
04,80,18731,4,2.120489
07,70,11592,3,4.739282
04,100,4048,0,1.461521
08,70,13727,4,4.652517
07,50,17001,3,6.301169
03,20,61290,5,7.687687
09,40,28271,5,3.688209
04,70,24746,5,5.545268
10,80,8359,4,1.819504
08,100,2180,0,1.346855
06,100,2903,0,0.864855
09,30,34009,5,6.501537
10,50,15545,5,1.574286
05,10,67123,6,4.31878
08,20,34101,5,5.210985
01,80,15978,3,4.683932
09,80,13392,3,1.158197
05,100,2453,0,1.502404
02,50,15773,5,5.992605
01,20,53424,6,3.335814
02,60,13203,5,2.688556
09,70,17639,4,4.39558
06,10,95297,5,2.931594
08,60,16605,5,1.447172
03,30,49608,5,3.209038
09,60,21225,4,7.194508
01,40,34958,5,5.221879
10,70,11088,4,1.811475
07,100,1757,0,1.482857
08,80,10202,3,3.762366
06,60,32304,4,4.026299
04,60,29570,5,1.529498
02,40,18581,5,1.142642
01,100,2453,0,1.364096
10,20,27742,6,6.541105
07,60,14371,4,3.700327
10,40,17868,6,1.283942
08,40,22279,5,3.027688
04,50,34081,5,6.710822
07,30,24330,5,6.272274
03,100,3673,0,4.41152
02,20,30292,5,9.740911
09,50,24634,4,2.248381
10,30,21541,6,4.881348
03,80,20670,3,16.060757
06,20,66681,5,6.864585
03,50,37120,4,1.764572
01,10,78200,5,4.408101
10,90,5113,4,1.388168
05,60,22344,5,3.87073
10,100,2234,1,1.710224
09,90,7945,1,2.568676
06,50,37689,4,7.203056
06,30,52569,6,7.58237
07,90,4373,1,2.915009
08,50,19384,5,6.019567
03,70,27207,4,2.295408
04,40,38864,5,11.301801
08,90,6055,1,3.589884
06,70,26423,3,2.846386
06,90,10657,1,2.917625
07,20,31227,6,6.927375
03,60,32321,5,4.824886
01,70,21606,4,5.016382
10,60,13338,5,1.8465
02,30,23063,5,9.600973
07,10,48214,6,1.837781
