reference_image,test_image,img_size,response,resptime
08,30,26804,6,13.995727
04,30,46006,6,43.302845
02,10,47183,6,5.859817
05,70,18298,3,18.763444
05,40,30226,5,36.62272
05,20,45730,6,12.378926
01,50,30418,3,7.261492
02,100,1878,0,4.387457
01,30,42040,5,6.747937
01,60,26071,2,12.652056
09,100,2511,0,2.507362
05,90,7623,0,1.634981
07,40,19798,6,5.779115
09,20,43540,6,3.468987
03,40,42141,6,4.012534
03,90,12381,2,5.100936
02,70,10528,2,2.769396
09,10,64889,6,4.44389
01,90,8821,0,2.889856
02,80,7533,1,3.451061
06,40,43737,6,3.52993
02,90,4151,1,2.685358
07,80,8245,1,4.561796
05,50,26175,2,11.735608
04,20,57167,5,8.663873
06,80,19411,2,5.744165
05,30,36281,6,14.448895
05,80,13466,2,4.400328
04,90,11258,1,2.245535
10,10,43294,6,2.519301
03,10,85126,6,2.205285
08,10,51322,6,4.66165
04,10,81772,6,5.572769
04,80,18731,3,6.656508
07,70,11592,2,3.6725
04,100,4048,0,1.924196
08,70,13727,3,5.040947
07,50,17001,4,10.285713
03,20,61290,6,4.283495
09,40,28271,6,2.176317
04,70,24746,4,3.207933
10,80,8359,4,4.379996
08,100,2180,0,1.910482
06,100,2903,0,1.250413
09,30,34009,5,5.855812
10,50,15545,6,3.730781
05,10,67123,4,6.132596
08,20,34101,6,2.961437
01,80,15978,2,4.794037
09,80,13392,2,2.011883
05,100,2453,0,1.541857
02,50,15773,3,6.225975
01,20,53424,6,9.078856
02,60,13203,3,2.456445
09,70,17639,3,2.715253
06,10,95297,6,3.645525
08,60,16605,2,8.557905
03,30,49608,6,5.071303
09,60,21225,4,8.243852
01,40,34958,5,10.888287
10,70,11088,5,5.726261
07,100,1757,0,1.601655
08,80,10202,1,3.130174
06,60,32304,6,5.976044
04,60,29570,4,5.914122
02,40,18581,5,4.039831
01,100,2453,0,1.378638
10,20,27742,6,3.805481
07,60,14371,4,3.277044
10,40,17868,6,2.951711
08,40,22279,6,3.007161
04,50,34081,4,8.437262
07,30,24330,6,3.658464
03,100,3673,0,1.663168
02,20,30292,6,3.6589
09,50,24634,5,3.393149
10,30,21541,6,2.855953
03,80,20670,3,6.779221
06,20,66681,5,6.825451
03,50,37120,6,2.682662
01,10,78200,6,6.535849
10,90,5113,1,7.820543
05,60,22344,2,6.087449
10,100,2234,0,1.542129
09,90,7945,0,1.653963
06,50,37689,5,5.752182
06,30,52569,6,6.554564
07,90,4373,0,3.809752
08,50,19384,6,6.286576
03,70,27207,2,8.88751
04,40,38864,4,8.61014
08,90,6055,1,3.246119
06,70,26423,5,7.071047
06,90,10657,1,12.513129
07,20,31227,6,3.051931
03,60,32321,3,11.799214
01,70,21606,2,5.957489
10,60,13338,4,3.744103
02,30,23063,5,4.454694
07,10,48214,6,3.514657
