test_person,reference_image,test_image,img_size,response,resptime
Testperson 1,08,30,26804,5,17.091181
Testperson 1,04,30,46006,5,2.597898
Testperson 1,02,10,47183,6,6.11256
Testperson 1,05,70,18298,3,2.449488
Testperson 1,05,40,30226,4,2.515758
Testperson 1,05,20,45730,4,7.235665
Testperson 1,01,50,30418,5,1.85514
Testperson 1,02,100,1878,0,3.656366
Testperson 1,01,30,42040,3,1.999763
Testperson 1,01,60,26071,4,4.411535
Testperson 1,09,100,2511,0,2.111403
Testperson 1,05,90,7623,1,3.961876
Testperson 1,07,40,19798,4,3.117232
Testperson 1,09,20,43540,5,3.512008
Testperson 1,03,40,42141,5,3.494453
Testperson 1,03,90,12381,2,3.105858
Testperson 1,02,70,10528,2,2.285153
Testperson 1,09,10,64889,5,2.438393
Testperson 1,01,90,8821,1,3.326391
Testperson 1,02,80,7533,2,1.854231
Testperson 1,06,40,43737,3,2.320829
Testperson 1,02,90,4151,1,2.487831
Testperson 1,07,80,8245,1,1.335976
Testperson 1,05,50,26175,1,1.036241
Testperson 1,04,20,57167,4,2.07195
Testperson 1,06,80,19411,1,2.879396
Testperson 1,05,30,36281,2,2.030219
Testperson 1,05,80,13466,2,2.828449
Testperson 1,04,90,11258,2,1.337169
Testperson 1,10,10,43294,5,2.208633
Testperson 1,03,10,85126,6,2.093606
Testperson 1,08,10,51322,6,1.596344
Testperson 1,04,10,81772,6,1.248834
Testperson 1,04,80,18731,4,2.264142
Testperson 1,07,70,11592,3,2.930241
Testperson 1,04,100,4048,0,1.473194
Testperson 1,08,70,13727,3,5.094924
Testperson 1,07,50,17001,3,1.270385
Testperson 1,03,20,61290,5,1.868862
Testperson 1,09,40,28271,5,1.753077
Testperson 1,04,70,24746,4,1.76225
Testperson 1,10,80,8359,3,1.703529
Testperson 1,08,100,2180,0,1.289
Testperson 1,06,100,2903,0,1.026832
Testperson 1,09,30,34009,4,1.741673
Testperson 1,10,50,15545,5,2.610897
Testperson 1,05,10,67123,5,2.582984
Testperson 1,08,20,34101,5,1.457748
Testperson 1,01,80,15978,3,2.69232
Testperson 1,09,80,13392,3,1.576224
Testperson 1,05,100,2453,0,1.33775
Testperson 1,02,50,15773,5,2.194281
