reference_image,test_image,img_size,response,resptime
08,30,26804,6,4.280105
04,30,46006,5,1.221192
02,10,47183,5,1.843185
05,70,18298,3,2.105287
05,40,30226,5,2.011002
05,20,45730,6,0.861352
01,50,30418,4,2.31474
02,100,1878,0,1.600225
01,30,42040,6,2.742411
01,60,26071,5,1.137537
09,100,2511,0,1.273638
05,90,7623,1,1.79315
07,40,19798,4,2.427837
09,20,43540,5,3.165471
03,40,42141,4,2.649571
03,90,12381,1,1.920639
02,70,10528,4,2.030221
09,10,64889,6,3.498539
01,90,8821,2,2.596994
02,80,7533,3,4.366214
06,40,43737,4,2.094567
02,90,4151,1,3.875181
07,80,8245,4,3.053452
05,50,26175,5,2.10935
04,20,57167,6,1.552633
06,80,19411,3,2.379065
05,30,36281,6,4.578233
05,80,13466,5,0.967054
04,90,11258,2,3.96245
10,10,43294,6,2.643501
03,10,85126,6,1.202447
08,10,51322,6,1.563155
04,10,81772,6,1.45733
04,80,18731,5,1.541142
07,70,11592,5,1.746354
04,100,4048,0,1.335729
08,70,13727,4,2.70896
07,50,17001,5,1.589752
03,20,61290,5,6.105258
09,40,28271,6,2.389096
04,70,24746,5,1.622982
10,80,8359,3,2.263594
08,100,2180,0,1.272548
06,100,2903,0,0.776133
09,30,34009,5,2.000553
10,50,15545,5,2.628265
05,10,67123,5,1.701073
08,20,34101,6,2.664317
01,80,15978,4,1.487762
09,80,13392,3,3.844427
05,100,2453,0,1.343846
02,50,15773,6,5.004107
01,20,53424,5,3.202023
02,60,13203,6,1.611427
09,70,17639,5,1.359699
06,10,95297,6,1.480577
08,60,16605,5,1.8615
03,30,49608,5,1.184764
09,60,21225,5,1.496158
01,40,34958,5,6.038591
10,70,11088,4,1.026793
07,100,1757,0,2.105475
08,80,10202,3,2.411104
06,60,32304,4,3.977334
04,60,29570,4,3.640082
02,40,18581,6,1.202528
01,100,2453,0,1.360909
10,20,27742,5,1.669179
07,60,14371,4,2.779671
10,40,17868,6,2.255053
08,40,22279,5,1.459015
04,50,34081,6,4.332179
07,30,24330,6,1.622139
03,100,3673,1,1.940214
02,20,30292,6,2.607251
09,50,24634,5,1.319878
10,30,21541,6,2.550168
03,80,20670,4,1.391374
06,20,66681,6,4.252926
03,50,37120,6,2.127806
01,10,78200,5,2.857664
10,90,5113,2,2.190388
05,60,22344,5,2.827108
10,100,2234,1,2.041644
09,90,7945,2,2.348989
06,50,37689,5,4.764076
06,30,52569,6,1.110141
07,90,4373,1,3.035825
08,50,19384,5,2.743564
03,70,27207,4,1.994434
04,40,38864,5,2.068433
08,90,6055,2,2.390518
06,70,26423,3,3.018884
06,90,10657,1,2.04028
07,20,31227,5,3.958452
03,60,32321,5,1.85374
01,70,21606,4,4.017742
10,60,13338,6,2.014315
02,30,23063,6,1.843771
07,10,48214,6,1.575553
