reference_image,test_image,img_size,response,resptime
08,30,26804,6,30.575941
04,30,46006,6,12.511365
02,10,47183,6,17.077813
05,70,18298,5,12.054528
05,40,30226,5,2.165925
05,20,45730,5,23.268169
01,50,30418,4,20.177643
02,100,1878,0,8.324887
01,30,42040,4,8.311286
01,60,26071,3,10.259843
09,100,2511,0,9.855019
05,90,7623,1,20.469891
07,40,19798,3,12.042947
09,20,43540,5,16.043719
03,40,42141,6,7.215448
03,90,12381,4,8.405225
02,70,10528,4,3.234862
09,10,64889,6,5.835458
01,90,8821,1,8.995742
02,80,7533,1,3.584419
06,40,43737,2,7.08797
02,90,4151,1,5.986969
07,80,8245,1,2.470028
05,50,26175,2,3.5454
04,20,57167,6,7.080393
06,80,19411,4,5.922814
05,30,36281,5,8.580997
05,80,13466,4,1.990812
04,90,11258,4,3.080932
10,10,43294,6,10.155954
03,10,85126,6,2.933466
08,10,51322,6,4.369598
04,10,81772,6,5.012913
04,80,18731,6,2.593945
07,70,11592,5,9.196002
04,100,4048,0,3.294749
08,70,13727,5,5.210476
07,50,17001,6,6.154862
03,20,61290,6,2.817136
09,40,28271,6,5.012154
04,70,24746,5,3.247629
10,80,8359,5,6.660843
08,100,2180,0,2.490178
06,100,2903,0,1.640716
09,30,34009,6,4.538004
10,50,15545,6,2.514339
05,10,67123,5,8.480879
08,20,34101,6,3.701238
01,80,15978,4,3.087604
09,80,13392,4,2.237109
05,100,2453,0,3.302166
02,50,15773,5,10.780985
01,20,53424,5,1.84196
02,60,13203,5,2.971045
09,70,17639,4,3.794867
06,10,95297,5,6.943651
08,60,16605,5,4.263031
03,30,49608,6,31.396415
09,60,21225,6,2.276276
01,40,34958,6,3.127788
10,70,11088,6,6.429996
07,100,1757,0,2.296346
08,80,10202,3,9.316127
06,60,32304,6,5.903094
04,60,29570,6,4.05305
02,40,18581,6,4.168499
01,100,2453,0,1.616484
10,20,27742,6,3.593103
07,60,14371,6,6.747615
10,40,17868,6,4.384549
08,40,22279,6,4.386996
04,50,34081,6,6.436198
07,30,24330,6,3.217023
03,100,3673,0,1.824326
02,20,30292,6,6.655578
09,50,24634,6,8.094838
10,30,21541,6,5.301411
03,80,20670,4,4.657966
06,20,66681,5,8.005697
03,50,37120,6,5.261742
01,10,78200,5,16.248432
10,90,5113,2,5.586158
05,60,22344,4,4.569685
10,100,2234,0,1.609056
09,90,7945,2,5.278616
06,50,37689,6,4.610531
06,30,52569,6,4.034036
07,90,4373,2,4.554031
08,50,19384,6,3.924935
03,70,27207,5,1.778346
04,40,38864,6,1.650532
08,90,6055,2,2.894053
06,70,26423,4,6.414133
06,90,10657,1,5.877335
07,20,31227,6,2.619268
03,60,32321,6,2.725075
01,70,21606,6,3.53638
10,60,13338,6,5.043791
02,30,23063,6,1.589068
07,10,48214,6,2.725512
